"orig","dest","corridor_name","year","census","corridor"
"Lithuania","Slovenia","Lithuania->Slovenia",2011,31,456
"Lithuania","Spain","Lithuania->Spain",2011,9765,457
"Lithuania","Sweden","Lithuania->Sweden",2011,6645,458
"Lithuania","United Kingdom","Lithuania->United Kingdom",2011,94905,459
"Luxembourg","Austria","Luxembourg->Austria",2011,586,460
"Luxembourg","Belgium","Luxembourg->Belgium",2011,NA,461
"Luxembourg","Bulgaria","Luxembourg->Bulgaria",2011,3,462
"Luxembourg","Croatia","Luxembourg->Croatia",2011,22,463
"Luxembourg","Cyprus","Luxembourg->Cyprus",2011,7,464
"Luxembourg","Czech Republic","Luxembourg->Czech Republic",2011,11,465
"Luxembourg","Denmark","Luxembourg->Denmark",2011,295,466
"Luxembourg","Estonia","Luxembourg->Estonia",2011,3,467
"Luxembourg","Finland","Luxembourg->Finland",2011,25,468
"Luxembourg","France","Luxembourg->France",2011,7824,469
"Luxembourg","Germany","Luxembourg->Germany",2011,11130,470
"Luxembourg","Greece","Luxembourg->Greece",2011,117,471
"Luxembourg","Hungary","Luxembourg->Hungary",2011,18,472
"Luxembourg","Ireland","Luxembourg->Ireland",2011,NA,473
"Luxembourg","Italy","Luxembourg->Italy",2011,3982,474
"Luxembourg","Latvia","Luxembourg->Latvia",2011,0,475
"Luxembourg","Lithuania","Luxembourg->Lithuania",2011,0,476
"Luxembourg","Malta","Luxembourg->Malta",2011,4,477
"Luxembourg","Netherlands","Luxembourg->Netherlands",2011,0,478
"Luxembourg","Poland","Luxembourg->Poland",2011,16,479
"Luxembourg","Portugal","Luxembourg->Portugal",2011,3105,480
"Luxembourg","Romania","Luxembourg->Romania",2011,4,481
"Luxembourg","Slovakia","Luxembourg->Slovakia",2011,5,482
"Luxembourg","Slovenia","Luxembourg->Slovenia",2011,16,483
"Luxembourg","Spain","Luxembourg->Spain",2011,1225,484
"Luxembourg","Sweden","Luxembourg->Sweden",2011,106,485
