"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2017,"Hungary",260355.667134598,29759.795280634,275942.236999551,241074.95447605,300083.496943492,221859.506306822
2017,"Ireland",411253.345111116,45450.9984372776,453207.33669482,378071.181575372,474034.835667115,357157.943995141
2017,"Italy",2015567.76048041,145141.749453729,2139439.28734126,1948217.21364138,2268277.17679661,1890515.47962757
2017,"Latvia",22466.9235903505,2197.22993282835,23998.628145157,21003.904026725,25624.6913862935,20006.7147046165
2017,"Lithuania",15896.0363845155,1386.05288623032,16866.2860682489,15093.7214733379,17918.9168523608,14404.8292668114
2017,"Luxembourg",179450.04364603,12806.5052444449,188992.357423364,170404.182465641,196442.191936444,163802.938437755
2017,"Malta",32741.4730140247,5385.64862530575,36064.414897414,29218.0983079689,40411.7441909713,26480.7356605271
2017,"Netherlands",541792.87045954,30964.3767169035,564518.462715631,521989.142130607,582654.335613823,505841.106444464
2017,"Poland",98672.9042822435,13212.0777785852,106890.33065461,89376.9860416963,115513.780935183,83071.7036416088
2017,"Portugal",197690.050330666,34712.9400796684,221137.442592625,172858.087161081,243708.861431426,153188.904483557
2017,"Romania",50329.5302344602,3533.78410307933,52957.5010289603,47895.0150588111,54827.3030401392,46304.9700054544
2017,"Slovakia",149365.313852849,15347.1634637432,161862.125904562,138440.334953867,173555.714041555,132730.594966439
2017,"Slovenia",75553.6841540348,9017.38309893778,81560.9923789533,70006.0140744281,88007.8148785712,65239.0983874811
2017,"Spain",1911806.68425623,114077.493484119,2007496.12381825,1844392.48119539,2092257.49399312,1793021.26163174
2017,"Sweden",403194.632058769,22082.2200371663,417783.061845813,387567.674230945,435480.440918611,376871.456019617
2017,"United Kingdom",2681343.23129053,218272.493498837,2818884.36343559,2483670.99357339,2939497.78655212,2355815.30792358
2018,"Austria",645736.51297663,62763.1172339232,685363.728702503,606097.163266728,723963.022056048,564325.326868315
2018,"Belgium",729911.042760096,62371.5408424322,773229.259507917,688493.114723767,814400.147957601,657400.788813709
2018,"Bulgaria",29299.0619358107,3008.77465751259,31317.7135842986,27481.5076614457,33413.6052169885,26098.2428505225
2018,"Croatia",61871.7955588715,9466.00514304197,69181.8627343642,56531.6990134778,75490.0830193826,51985.3275345254
2018,"Cyprus",77383.0111045781,14690.8363319185,88468.8304642124,67359.3466346428,96390.48526038,61668.2665387003
2018,"Czechia",272888.4510713,42447.398731991,298777.282739184,249784.632552778,334013.883758456,228933.149148214
2018,"Denmark",205474.973214541,16734.8415668919,219103.15713046,194703.662343456,228743.164671649,187158.438551744
2018,"Estonia",23789.6264711526,2182.51736182928,25446.3076942687,22321.7535329707,26845.0650663019,21214.0764653701
2018,"Finland",116688.273655071,14096.6388361889,126677.689330879,107671.930157372,137127.363613985,100442.011019771
2018,"France",1126474.42938062,157860.520647257,1251760.36583413,1038459.95237938,1368022.19202573,973374.501237676
2018,"Germany",2626135.4077907,408509.999341532,2938284.92485692,2373074.600177,3226166.15354511,2209628.33932053
2018,"Greece",245996.006196181,61398.3158479855,286809.640350519,218495.320916195,333793.586059628,199542.358943078
2018,"Hungary",229056.878774916,46781.6869430981,260465.92495603,204482.285151577,293415.057137351,185538.988884466
2018,"Ireland",422061.494285719,54049.5019285088,457150.331777711,382689.545712781,495450.919366314,348855.053456487
2018,"Italy",1792335.82227117,270142.310947201,1967403.85480181,1633332.93978818,2192467.00838451,1496113.83984204
2018,"Latvia",19878.2968350766,2731.12987824506,21820.9019022829,18333.8083751844,24080.3623339222,17388.419593859
2018,"Lithuania",16573.4570518485,1665.56894444484,17647.9130610398,15486.8723671675,18965.0612741234,14636.8836186377
2018,"Luxembourg",175985.738538375,18469.812672578,189995.474644496,163480.034049676,202243.169304851,155723.24754651
2018,"Malta",37003.9017973285,5711.3370720929,41021.351646179,33493.4424193649,45275.5987594931,30808.7170834677
2018,"Netherlands",499963.121499358,46027.4328330676,531191.021336348,469462.424808322,555914.234343903,442285.228321778
2018,"Poland",107895.578648003,14015.0943552463,117596.034806692,98673.5162431824,128940.522257325,92282.9884333531
2018,"Portugal",194429.865898365,33730.2548348193,217020.339919121,175458.234987741,245414.181907635,159973.155680266
2018,"Romania",63419.2605053485,6515.85670396063,68085.2137522715,59490.7405989267,71677.4542742165,55920.2908452894
2018,"Slovakia",132116.675036218,19422.809768683,146271.382925992,119798.395541766,156815.555780167,109791.994830074
2018,"Slovenia",78251.8233818601,17294.790058995,89255.6003775055,67336.4779227442,102667.040568589,61314.3860098343
2018,"Spain",1716002.46783814,185179.612180517,1834752.29768319,1602173.78054271,1978207.41964803,1501435.66062589
2018,"Sweden",385030.245900763,31393.4792971132,406339.564472265,365164.926972688,426121.45747679,347625.589008214
2018,"United Kingdom",2693243.65996931,274404.596659127,2897411.37970101,2461600.12574695,3030010.23104258,2346606.94439788
2019,"Austria",645099.5581839,83891.6478753821,697093.577572991,595263.846821999,754780.848727127,547252.968430753
2019,"Belgium",744454.24029294,82656.30948997,800729.881638603,684447.027565427,859727.938826429,644807.933385367
2019,"Bulgaria",35643.8513823272,4172.4752142292,38391.8287271328,33293.5391217056,40947.4612327041,30578.9528308361
2019,"Croatia",66684.6403358273,10821.0671189857,74352.105234384,60638.2118698229,82283.213703674,55234.0565444832
2019,"Cyprus",80122.6812316014,16519.5109880412,90846.2349504301,70579.6199693944,104478.135261569,63445.7287137956
2019,"Czechia",271967.450162668,55888.3087163613,310821.826332353,241534.56256829,360376.352638107,220188.042426916
2019,"Denmark",205167.241581075,20315.4633316922,220345.329112506,193242.683114702,236493.487273893,183250.444115016
2019,"Estonia",25488.8654686611,2893.33086619407,27565.2317622976,23559.0358563978,29125.9570978232,22144.4234484334
2019,"Finland",118480.418640793,17032.7045313633,131036.682400526,110163.931994975,145661.293059765,100414.365360852
2019,"France",1155859.88802229,179016.192983846,1267772.49580695,1031782.45956544,1375437.54435425,955567.156553226
2019,"Germany",2634221.50586032,460077.216209333,2935174.0413328,2369817.5407988,3263440.04971081,2156858.60226653
2019,"Greece",248962.269661532,63272.3937596056,285975.53909478,221254.252331495,339662.042398972,198930.794541432
